Company Name,Website,Email,Phone,Services,Tech Stack,Social Links,Address
Orthority,https://orthority.co/,,,,,,
Classic City Web,https://classiccityweb.com/,,,,,,
Classic City Web Design,https://www.classiccitywebdesign.com/,,,,,,
Athens Web Co.,https://athenswebco.net/,grady@athenswebco.net,6786970136,"Website Design, SEO, Digital Marketing, Game Development",Google Analytics,,
Zone 5 Design,http://www.zone5design.com/,,,,,,
The Georgia Brand Company,https://www.georgiabrand.co/,"emailadmin@georgiabrand.co, admin@georgiabrand.co",4048501340,"Website Design, Digital Marketing, Custom Software, Cloud Services, AI / Machine Learning","Google Analytics, Google Tag Manager",,
Designs by Bee,https://www.designsbybee.com/,"rspack@1.6.8, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 463991d7bca24f02a0baf16f9e6eda73@sentry.wixpress.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com","1785840679604, 27845009128, 7622313209385, 83421775980, 3097865384, 0002322587, 33919791905, 95711734232, 1785840678, 0114306824, 2183135792, 1785739517601, 1785739516, 4461799362, 56818747485, 1785840681818, 1785840680, 7845444329, 1785840683797, 1785840682, 6094690625","Website Design, Digital Marketing, Custom Software, Cloud Services, Game Development","Wix, React, Lodash, Node.js",,
R House,http://www.rhouseadvertising.com/,"hello@rhouseadvertising.com, rspack@1.6.8, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com","1785542815060, 1499774301, 2147483648, 7708689019, 1820119383, 94600814554, 5053144538958, 45348643784, 4154942393, 6091407054, 5691127585, 58606304614, 7063382148, 33919791905, 112735641289, 1785542813, 9321446868, 16260612261, 4358321934, 810780481049, 1641829884655, 1641829884680, 1641829884695, 80014599443, 1641829884711, 1641829884719, 1641829884726, 1641829884734, 1641829884742, 1641829885005, 1641829885255, 1641829885330, 1682367716283, 1682369582201, 1785617927321, 1785617926, 1451709271, 1785840682215, 1785840679, 8044307956, 1785840684944, 1785840683, 3494310200","Web Development, Website Design, SEO, Digital Marketing, Custom Software, Cloud Services, Game Development, CMS Development","Wix, React, Lodash, Google Analytics, Google Tag Manager, Node.js",,
Classic City Code,https://classiccitycode.com/,"servicesaboutcontactsupportprivacytermscontact@classiccitycode.comathens, contact@classiccitycode.com, policy.contact@classiccitycode.comathens",,"Web Development, Website Design, Mobile App Development, Digital Marketing, Custom Software, Cloud Services, CMS Development, Game Development",Next.js,,
Web Design Village,https://www.webdesignvillage.com/,"info@webdesignvillage.com, support@webdesignvillage.com","8883151660, 18883151660","Web Development, Website Design, SEO, Digital Marketing, AI / Machine Learning, Game Development","jQuery, Bootstrap, GSAP, Bootstrap CSS, Google Analytics, Cloudflare",instagram: https://www.instagram.com/WebDesignVillage | linkedin: https://www.linkedin.com/company/web-design-village | facebook: https://www.facebook.com/WebDesignVillage,
